normalized_page_path,normalized_page_url,inspection_verdict,inspection_coverage_state,inspection_indexing_state,inspection_page_fetch_state,inspection_robots_txt_state,inspection_google_canonical,inspection_user_canonical,inspection_last_crawl_time,inspection_error_message,has_issue,issue_types,recommended_action,recommended_action_text,source_type
/blog/10-steps-to-improve-egg-quality-for-ivf-or-pregnancy,https://international-surrogacy.com/blog/10-steps-to-improve-egg-quality-for-ivf-or-pregnancy,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/10-steps-to-improve-egg-quality-for-ivf-or-pregnancy,https://international-surrogacy.com/blog/10-steps-to-improve-egg-quality-for-ivf-or-pregnancy,2025-12-20T21:46:48Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
/blog/12-johnson-johnson,https://international-surrogacy.com/blog/12-johnson-johnson,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/145-mrs-north-carolina,https://international-surrogacy.com/blog/145-mrs-north-carolina,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/156-can-artificial-ovaries-help-women-conceive-after-chemotherapy,https://international-surrogacy.com/blog/156-can-artificial-ovaries-help-women-conceive-after-chemotherapy,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/164-the-infertility-crisis-is-beyond-doubt-but-what-is-the-cause,https://international-surrogacy.com/blog/164-the-infertility-crisis-is-beyond-doubt-but-what-is-the-cause,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/169-collect-moments-not-things,https://international-surrogacy.com/blog/169-collect-moments-not-things,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/178-us-women-veterans,https://international-surrogacy.com/blog/178-us-women-veterans,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/196-ivf-sparked,https://international-surrogacy.com/blog/196-ivf-sparked,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/234-why-our-donor-matching-process-is-extraordinary,https://international-surrogacy.com/blog/234-why-our-donor-matching-process-is-extraordinary,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/236-how-to-choose-the-best-agency,https://international-surrogacy.com/blog/236-how-to-choose-the-best-agency,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/247-what-they-don-t-tell-you-about-infertility,https://international-surrogacy.com/blog/247-what-they-don-t-tell-you-about-infertility,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/350-ukraine-s-borders-open,https://international-surrogacy.com/blog/350-ukraine-s-borders-open,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/38-toni-street,https://international-surrogacy.com/blog/38-toni-street,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/450-finance-1-part,https://international-surrogacy.com/blog/450-finance-1-part,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,,True,"['verdict_issue', 'robots_txt_blocked']",no_action,No action until more reliable data is available.,inspection
/blog/5-questions-about-ivf,https://international-surrogacy.com/blog/5-questions-about-ivf,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://international-surrogacy.com/blog/5-questions-about-ivf,https://international-surrogacy.com/blog/5-questions-about-ivf,2026-03-27T07:30:23Z,,True,"['verdict_issue', 'not_indexed']",no_action,No action until more reliable data is available.,inspection
