normalized_page_path,normalized_page_url,current_gsc_clicks,previous_gsc_clicks,current_gsc_impressions,previous_gsc_impressions,current_ga4_sessions,previous_ga4_sessions,current_ga4_conversions,previous_ga4_conversions,click_delta,impression_delta,sessions_delta,conversions_delta,mover_score,movement_direction
/blog/cameron-diaz-and-benji-madden,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,98.0,32.0,20971.0,3983.0,114.0,27.0,0.0,0.0,66.0,16988.0,87.0,0.0,1751.3000000000002,up
/blog/cristiano-ronaldo-296,https://international-surrogacy.com/blog/cristiano-ronaldo-296,203.0,0.0,10862.0,833.0,202.0,210.0,1.0,0.0,203.0,10029.0,-8.0,1.0,1091.7,up
/blog/priyanka-chopra-chooses-surrogacy,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,102.0,38.0,19764.0,9520.0,114.0,25.0,0.0,0.0,64.0,10244.0,89.0,0.0,1076.7,up
/blog/why-did-paris-hilton-use-a-surrogate,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,27.0,96.0,8156.0,15496.0,21.0,88.0,0.0,0.0,-69.0,-7340.0,-67.0,0.0,-781.7,down
/,https://international-surrogacy.com/,98.0,101.0,5656.0,7404.0,448.0,926.0,26.0,47.0,-3.0,-1748.0,-478.0,-21.0,-529.4,down
/blog/nicole-kidman-and-keith-urban,https://international-surrogacy.com/blog/nicole-kidman-and-keith-urban,2.0,8.0,5613.0,1381.0,32.0,15.0,0.0,0.0,-6.0,4232.0,17.0,0.0,425.9000000000001,up
/blog/ukraine-surrogacy-cost-breakdown-2026,https://international-surrogacy.com/blog/ukraine-surrogacy-cost-breakdown-2026,2.0,0.0,3782.0,0.0,15.0,0.0,0.0,0.0,2.0,3782.0,15.0,0.0,383.50000000000006,up
/blog/jimmy-fallon,https://international-surrogacy.com/blog/jimmy-fallon,5.0,3.0,4017.0,990.0,5.0,4.0,0.0,0.0,2.0,3027.0,1.0,0.0,303.8,up
/blog/egg-retrieval-after-hysterectomy,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,65.0,0.0,6483.0,3733.0,75.0,87.0,0.0,2.0,65.0,2750.0,-12.0,-2.0,277.4,up
/blog/surrogacy-in-ghana-for-single-men,https://international-surrogacy.com/blog/surrogacy-in-ghana-for-single-men,8.0,0.0,2290.0,3.0,12.0,7.0,0.0,0.0,8.0,2287.0,5.0,0.0,233.4,up
/blog/a-story-of-love-and-family,https://international-surrogacy.com/blog/a-story-of-love-and-family,13.0,0.0,2299.0,323.0,17.0,10.0,0.0,0.0,13.0,1976.0,7.0,0.0,204.9,up
/cost-of-surrogacy-in-ukraine,https://international-surrogacy.com/cost-of-surrogacy-in-ukraine,3.0,12.0,1874.0,3203.0,17.0,43.0,0.0,5.0,-9.0,-1329.0,-26.0,-5.0,-194.3,down
