date_range,landing_page_plus_query_string,landing_page_plus_query_string_original,normalized_page_url,normalized_page_path,sessions,engaged_sessions,conversions
previous_28_days,https://international-surrogacy.com/,/,https://international-surrogacy.com/,/,923.0,747.0,45.0
previous_28_days,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,https://international-surrogacy.com/blog/cristiano-ronaldo-296,/blog/cristiano-ronaldo-296,176.0,93.0,0.0
previous_28_days,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,https://international-surrogacy.com/blog/egg-retrieval-after-hysterectomy,/blog/egg-retrieval-after-hysterectomy,87.0,51.0,2.0
previous_28_days,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,https://international-surrogacy.com/blog/why-did-paris-hilton-use-a-surrogate,/blog/why-did-paris-hilton-use-a-surrogate,87.0,41.0,0.0
previous_28_days,(not set),(not set),,,64.0,3.0,1.0
previous_28_days,https://international-surrogacy.com/blog/understanding-the-benefits-of-surrogacy,/blog/understanding-the-benefits-of-surrogacy,https://international-surrogacy.com/blog/understanding-the-benefits-of-surrogacy,/blog/understanding-the-benefits-of-surrogacy,50.0,6.0,0.0
previous_28_days,https://international-surrogacy.com/deutsch,/deutsch,https://international-surrogacy.com/deutsch,/deutsch,45.0,38.0,5.0
previous_28_days,https://international-surrogacy.com/cost-of-surrogacy-in-ukraine,/cost-of-surrogacy-in-ukraine,https://international-surrogacy.com/cost-of-surrogacy-in-ukraine,/cost-of-surrogacy-in-ukraine,43.0,13.0,5.0
previous_28_days,https://international-surrogacy.com/blog/two-sons,/blog/two-sons,https://international-surrogacy.com/blog/two-sons,/blog/two-sons,36.0,17.0,0.0
previous_28_days,https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,https://international-surrogacy.com/blog/emma-weymouth,/blog/emma-weymouth,33.0,21.0,1.0
previous_28_days,https://international-surrogacy.com/ai-assistant-2,/ai-assistant-2,https://international-surrogacy.com/ai-assistant-2,/ai-assistant-2,32.0,28.0,0.0
previous_28_days,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,https://international-surrogacy.com/blog/cameron-diaz-and-benji-madden,/blog/cameron-diaz-and-benji-madden,27.0,16.0,0.0
previous_28_days,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,https://international-surrogacy.com/blog/priyanka-chopra-chooses-surrogacy,/blog/priyanka-chopra-chooses-surrogacy,24.0,18.0,0.0
previous_28_days,https://international-surrogacy.com/us,/us,https://international-surrogacy.com/us,/us,24.0,10.0,1.0
previous_28_days,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,https://international-surrogacy.com/surrogacy-ukraine-price,/surrogacy-ukraine-price,16.0,2.0,0.0
