country,clicks,impressions,ctr,position
usa,1500.0,314012.0,0.004776887507483791,12.623285097384814
gbr,243.0,49210.0,0.0049380207274944115,22.271753708595813
deu,186.0,8660.0,0.021478060046189375,17.048614318706697
can,122.0,15791.0,0.007725919827749984,7.1497688556772845
aus,100.0,11308.0,0.008843296781039971,11.308277325787053
ind,82.0,23130.0,0.003545179420665802,8.363424124513617
esp,80.0,4615.0,0.01733477789815818,7.765980498374865
ukr,70.0,1837.0,0.03810560696788242,8.857920522591181
aut,36.0,955.0,0.03769633507853403,7.103664921465969
mex,35.0,4237.0,0.008260561718196837,16.272834552749586
nld,26.0,1891.0,0.013749338974087784,9.221575885774723
nga,23.0,4207.0,0.005467078678393154,6.196814832422153
zaf,23.0,4018.0,0.005724240915878547,8.612244897959183
swe,22.0,1815.0,0.012121212121212121,8.206611570247933
fra,19.0,2952.0,0.006436314363143632,9.858062330623307
dnk,18.0,917.0,0.019629225736095966,9.177753544165759
idn,18.0,4214.0,0.004271476032273375,9.619126720455624
prt,18.0,1044.0,0.017241379310344827,8.721264367816092
bra,16.0,5857.0,0.002731773945705993,10.131637357008708
ken,16.0,1647.0,0.009714632665452338,7.70856102003643
mys,16.0,1914.0,0.008359456635318705,10.824973876698015
gha,15.0,985.0,0.015228426395939087,7.211167512690356
nzl,15.0,1377.0,0.010893246187363835,7.237472766884531
che,13.0,959.0,0.013555787278415016,9.015641293013555
irl,13.0,2217.0,0.005863779882724403,7.705006765899864
phl,13.0,3814.0,0.0034084950183534348,9.701101206082853
arg,12.0,1473.0,0.008146639511201629,8.788187372708759
chl,12.0,836.0,0.014354066985645933,8.299043062200957
ita,12.0,2389.0,0.0050230221850146506,10.520719966513186
tur,12.0,1652.0,0.007263922518159807,10.571428571428571
vnm,12.0,1687.0,0.007113218731475993,16.320687611144045
cze,10.0,567.0,0.01763668430335097,8.232804232804233
egy,10.0,898.0,0.011135857461024499,13.913140311804009
pol,10.0,1437.0,0.006958942240779402,8.102296450939457
col,9.0,1382.0,0.006512301013024602,10.206946454413893
sgp,9.0,1517.0,0.005932762030323006,12.79564930784443
are,8.0,1179.0,0.006785411365564037,9.521628498727736
pak,8.0,1826.0,0.004381161007667032,11.295180722891565
nor,7.0,805.0,0.008695652173913044,11.203726708074534
pri,7.0,253.0,0.02766798418972332,6.146245059288537
rou,7.0,1004.0,0.0069721115537848604,10.53585657370518
ven,7.0,536.0,0.013059701492537313,10.240671641791044
hkg,6.0,636.0,0.009433962264150943,8.845911949685535
per,6.0,855.0,0.007017543859649123,7.938011695906432
bel,5.0,726.0,0.006887052341597796,7.420110192837465
ecu,5.0,656.0,0.007621951219512195,9.625
fin,5.0,468.0,0.010683760683760684,6.418803418803419
jpn,5.0,1023.0,0.004887585532746823,7.903225806451613
rus,5.0,707.0,0.007072135785007072,9.261669024045261
tto,5.0,283.0,0.0176678445229682,6.480565371024735
ury,5.0,205.0,0.024390243902439025,7.131707317073171
bgr,4.0,528.0,0.007575757575757576,8.454545454545453
dom,4.0,407.0,0.009828009828009828,8.108108108108109
grc,4.0,621.0,0.00644122383252818,7.48792270531401
isr,4.0,626.0,0.006389776357827476,15.389776357827476
lbn,4.0,165.0,0.024242424242424242,6.206060606060606
mar,4.0,447.0,0.008948545861297539,11.79642058165548
pan,4.0,202.0,0.019801980198019802,8.341584158415841
srb,4.0,470.0,0.00851063829787234,7.023404255319149
tha,4.0,1111.0,0.0036003600360036,12.869486948694869
uga,4.0,460.0,0.008695652173913044,4.943478260869565
bgd,3.0,1383.0,0.0021691973969631237,10.6059291395517
cri,3.0,243.0,0.012345679012345678,8.2880658436214
hrv,3.0,446.0,0.006726457399103139,5.455156950672646
hun,3.0,710.0,0.004225352112676056,6.025352112676057
isl,3.0,110.0,0.02727272727272727,9.790909090909091
jor,3.0,178.0,0.016853932584269662,9.859550561797754
kgz,3.0,49.0,0.061224489795918366,7.26530612244898
lka,3.0,437.0,0.006864988558352402,10.20137299771167
svk,3.0,340.0,0.008823529411764706,6.802941176470588
twn,3.0,475.0,0.00631578947368421,9.073684210526316
zwe,3.0,298.0,0.010067114093959731,5.469798657718121
alb,2.0,207.0,0.00966183574879227,7.285024154589372
bwa,2.0,70.0,0.02857142857142857,10.957142857142857
