country,clicks,impressions,ctr,position
usa,369.0,90843.0,0.004061953039859978,12.678940589808791
gbr,98.0,17469.0,0.0056099376037552235,17.88505352338428
deu,75.0,3038.0,0.02468729427254773,11.971362738643844
can,36.0,4640.0,0.007758620689655172,7.444396551724138
esp,32.0,1634.0,0.019583843329253364,7.349449204406365
aus,29.0,3357.0,0.008638665475126601,12.98212689901698
ind,23.0,7926.0,0.00290184203885945,9.223441836992178
ukr,21.0,675.0,0.03111111111111111,9.936296296296296
mex,15.0,1425.0,0.010526315789473684,16.178947368421053
aut,10.0,339.0,0.029498525073746312,6.339233038348082
bra,8.0,2213.0,0.0036150022593764122,9.541346588341618
dnk,8.0,297.0,0.026936026936026935,8.356902356902356
irl,8.0,749.0,0.010680907877169559,7.978638184245661
nld,8.0,683.0,0.01171303074670571,10.991215226939971
gha,6.0,317.0,0.01892744479495268,5.82018927444795
idn,6.0,1860.0,0.0032258064516129032,9.635483870967741
ken,6.0,423.0,0.014184397163120567,7.295508274231678
nga,6.0,1308.0,0.0045871559633027525,4.808103975535168
nzl,6.0,405.0,0.014814814814814815,6.812345679012346
swe,6.0,673.0,0.008915304606240713,8.206537890044576
are,5.0,387.0,0.012919896640826873,10.671834625322997
arg,5.0,576.0,0.008680555555555556,8.536458333333332
che,5.0,343.0,0.014577259475218658,9.65597667638484
chl,5.0,266.0,0.018796992481203006,9.526315789473685
fra,5.0,1240.0,0.004032258064516129,11.06532258064516
prt,5.0,364.0,0.013736263736263736,8.447802197802197
col,4.0,503.0,0.007952286282306162,10.123260437375745
mys,4.0,698.0,0.0057306590257879654,11.975644699140402
nor,4.0,246.0,0.016260162601626018,11.902439024390244
ven,4.0,207.0,0.01932367149758454,8.492753623188406
zaf,4.0,1234.0,0.0032414910858995136,8.523500810372772
ita,3.0,907.0,0.0033076074972436605,7.997794928335171
sgp,3.0,451.0,0.0066518847006651885,11.241685144124169
tur,3.0,617.0,0.004862236628849271,12.215559157212319
twn,3.0,182.0,0.016483516483516484,11.274725274725276
bel,2.0,263.0,0.0076045627376425855,9.007604562737642
cub,2.0,52.0,0.038461538461538464,5.384615384615385
ecu,2.0,248.0,0.008064516129032258,9.22983870967742
egy,2.0,272.0,0.007352941176470588,10.268382352941176
fin,2.0,154.0,0.012987012987012988,7.62987012987013
grc,2.0,215.0,0.009302325581395349,8.074418604651163
hkg,2.0,152.0,0.013157894736842105,9.5
hun,2.0,278.0,0.007194244604316547,6.345323741007194
