query,clicks,impressions,ctr,position
delivering dreams,31.0,129.0,0.24031007751937986,2.302325581395349
paris hilton,20.0,1860.0,0.010752688172043012,3.268279569892473
delivering dreams international surrogacy agency,10.0,86.0,0.11627906976744186,1.1511627906976745
georgina rodríguez,8.0,257.0,0.0311284046692607,4.202334630350195
paris hilton husband,8.0,578.0,0.01384083044982699,2.0
priyanka chopra,8.0,988.0,0.008097165991902834,4.157894736842105
delivering dreams surrogacy,7.0,29.0,0.2413793103448276,1.7241379310344827
georgina,6.0,43.0,0.13953488372093023,3.627906976744186
paris hilton kids,6.0,112.0,0.05357142857142857,2.732142857142857
marquess of bath inheritance surrogacy,5.0,3904.0,0.0012807377049180327,8.70594262295082
ronaldo surrogate,5.0,93.0,0.053763440860215055,3.3870967741935485
cristiano ronaldo,4.0,95.0,0.042105263157894736,5.536842105263158
did cameron diaz use a surrogate,4.0,225.0,0.017777777777777778,2.3155555555555556
egg retrieval after hysterectomy,4.0,93.0,0.043010752688172046,3.806451612903226
carter reum,3.0,534.0,0.0056179775280898875,3.0149812734082397
ceawlin thynn children,3.0,128.0,0.0234375,1.6875
delivery dreams,3.0,11.0,0.2727272727272727,1.7272727272727273
georgina rodriguez,3.0,121.0,0.024793388429752067,3.834710743801653
georgina rodríguez hijos,3.0,24.0,0.125,2.458333333333333
michelle buteau,3.0,121.0,0.024793388429752067,4.421487603305785
ronaldo,3.0,119.0,0.025210084033613446,5.235294117647059
why did cameron diaz use a surrogate,3.0,36.0,0.08333333333333333,1.2777777777777777
zahara jolie-pitt,3.0,17.0,0.17647058823529413,3.0
amy smart today,2.0,24.0,0.08333333333333333,2.916666666666667
angel dos santos aveiro,2.0,60.0,0.03333333333333333,2.1333333333333333
cameron diaz ivf,2.0,41.0,0.04878048780487805,1.0
can you do an egg retrieval after a hysterectomy,2.0,21.0,0.09523809523809523,3.9523809523809526
can you harvest eggs after a hysterectomy,2.0,45.0,0.044444444444444446,4.155555555555555
can you retrieve eggs after a hysterectomy,2.0,53.0,0.03773584905660377,4.849056603773585
cristiano ronaldo surrogate,2.0,72.0,0.027777777777777776,5.847222222222222
elizabeth banks surrogacy,2.0,26.0,0.07692307692307693,4.5
emma thynn children,2.0,112.0,0.017857142857142856,1.5714285714285714
emma thynn marchioness of bath children,2.0,33.0,0.06060606060606061,1.6363636363636362
gijs van der most,2.0,21.0,0.09523809523809523,3.4285714285714284
hijos de georgina,2.0,4.0,0.5,2.25
hijos de ronaldo,2.0,5.0,0.4,2.0
international surrogacy,2.0,826.0,0.002421307506053269,12.199757869249394
irina shayk,2.0,72.0,0.027777777777777776,3.125
islam and ivf,2.0,8.0,0.25,1.0
marquess of bath children,2.0,130.0,0.015384615384615385,2.5846153846153843
paid sperm bank near me,2.0,4.0,0.5,1.75
paris hilton age,2.0,123.0,0.016260162601626018,2.105691056910569
paris hilton children,2.0,212.0,0.009433962264150943,1.7028301886792452
priyanka chopra surrogacy,2.0,244.0,0.00819672131147541,11.12704918032787
surrogacy,2.0,273.0,0.007326007326007326,4.871794871794872
surrogacy near me,2.0,32.0,0.0625,36.1875
why did priyanka chopra use a surrogate,2.0,485.0,0.004123711340206186,4.853608247422681
why did ronaldo have surrogate children,2.0,88.0,0.022727272727272728,1.2727272727272727
why priyanka chopra chose surrogacy,2.0,70.0,0.02857142857142857,9.642857142857142
wie viele kinder hat ronaldo,2.0,10.0,0.2,1.9
0-6 years height weight chart,1.0,1.0,1.0,11.0
abortion cause infertility,1.0,1.0,1.0,40.0
amy smart,1.0,369.0,0.0027100271002710027,3.6856368563685638
